textid	text	target
0	Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.	Business
1	Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.	Business
2	Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.	Business
3	AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.	Business
4	Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)	Business
5	AP - Assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the Investment Company Institute said Thursday.	Business
6	USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.	Business
7	"Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley."	Business
8	 NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.	Business
9	 NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.	Business
10	 TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.	Business
11	 JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday.	Business
12	 WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.	Business
13	 NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap.	Business
14	If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon.	Business
15	The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon.	Business
16	There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth.	Business
17	The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.	Business
18	Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims.	Business
19	The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.	Business
20	Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year.	Business
21	Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending.	Business
22	Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets.	Business
23	The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found.	Business
24	South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.	Business
25	An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday.	Business
26	Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.	Business
27	One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.	Business
28	Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan.	Business
29	The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.	Business
30	Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market.	Business
31	Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.	Business
32	A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.	Business
33	Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.	Business
34	BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.	Business
35	I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.	Business
36	Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores.	Business
37	E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application.	Business
38	Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought.	Business
39	Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ...	Business
40	President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.	Business
41	A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business.	Business
42	Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.	Business
43	Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.	Business
44	A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.	Business
45	Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.	Business
46	Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place.	Business
47	With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility.	Business
48	Quality Distribution is hammered after reporting a large loss for the second quarter.	Business
49	If Hurricane Charley blows your house down, how can you make your insurance company pay?	Business
50	The company's results show that it's not grim all over tech world. Just all of it that isn't Dell.	Business
51	After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd	Business
52	Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories	Business
53	In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier	Business
54	Celebrity fashion is booming. These webpreneurs are bringing it to main street	Business
55	No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band	Business
